Corruption Perceptions Index 2019: Global Scores ,,,,,,
,,,,,,
Country,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI
Denmark,87,1,2.54,8,82.83,91.17
New Zealand,87,1,2.29,8,83.25,90.75
Finland,86,3,2.92,8,81.20,90.80
Singapore,85,4,2.05,9,81.64,88.36
Sweden,85,4,1.98,8,81.76,88.24
Switzerland,85,4,1.58,7,82.41,87.59
Norway,84,7,1.65,7,81.30,86.70
Netherlands,82,8,2.25,8,78.31,85.69
Germany,80,9,3.31,8,74.57,85.43
Luxembourg,80,9,1.95,7,76.79,83.21
Iceland,78,11,4.63,7,70.41,85.59
Australia,77,12,1.32,9,74.84,79.16
Austria,77,12,1.57,8,74.43,79.57
Canada,77,12,2.80,8,72.41,81.59
United Kingdom,77,12,3.34,8,71.53,82.47
Hong Kong,76,16,3.15,8,70.83,81.17
Belgium,75,17,1.09,7,73.20,76.80
Estonia,74,18,1.21,10,72.02,75.98
Ireland,74,18,3.61,7,68.08,79.92
Japan,73,20,3.51,9,67.24,78.76
United Arab Emirates,71,21,5.13,8,62.59,79.41
Uruguay,71,21,2.47,7,66.95,75.05
France,69,23,2.28,8,65.26,72.74
United States of America,69,23,4.12,9,62.25,75.75
Bhutan,68,25,2.76,4,63.48,72.52
Chile,67,26,2.55,9,62.81,71.19
Seychelles,66,27,3.40,4,60.43,71.57
Taiwan,65,28,3.03,8,60.02,69.98
Bahamas,64,29,5.83,3,54.45,73.55
Barbados,62,30,6.06,4,52.06,71.94
Portugal,62,30,2.82,8,57.38,66.62
Qatar,62,30,8.00,7,48.88,75.12
Spain,62,30,3.17,8,56.81,67.19
Botswana,61,34,3.73,7,54.88,67.12
Brunei Darussalam,60,35,6.12,3,49.97,70.03
Israel,60,35,1.99,7,56.74,63.26
Lithuania,60,35,2.32,9,56.20,63.80
Slovenia,60,35,2.28,10,56.26,63.74
"Korea, South",59,39,2.44,10,55.00,63.00
Saint Vincent and the Grenadines,59,39,4.14,3,52.21,65.79
Cabo Verde,58,41,4.30,4,50.95,65.05
Cyprus,58,41,3.41,7,52.40,63.60
Poland,58,41,1.85,10,54.97,61.03
Costa Rica,56,44,3.97,7,49.49,62.51
Czech Republic,56,44,1.87,10,52.94,59.06
Georgia,56,44,3.84,5,49.71,62.29
Latvia,56,44,3.53,9,50.22,61.78
Dominica,55,48,2.16,3,51.45,58.55
Saint Lucia,55,48,4.15,3,48.19,61.81
Malta,54,50,1.55,6,51.46,56.54
Grenada,53,51,4.37,3,45.83,60.17
Italy,53,51,3.22,8,47.73,58.27
Malaysia,53,51,2.29,9,49.24,56.76
Rwanda,53,51,4.75,7,45.20,60.80
Saudi Arabia,53,51,7.56,7,40.60,65.40
Mauritius,52,56,3.12,6,46.88,57.12
Namibia,52,56,3.13,7,46.86,57.14
Oman,52,56,9.78,6,35.96,68.04
Slovakia,50,59,4.57,9,42.50,57.50
Cuba,48,60,1.87,5,44.93,51.07
Greece,48,60,2.57,8,43.79,52.21
Jordan,48,60,3.29,8,42.60,53.40
Croatia,47,63,2.42,10,43.03,50.97
Sao Tome and Principe,46,64,5.36,4,37.20,54.80
Vanuatu,46,64,6.38,3,35.54,56.46
Argentina,45,66,3.29,8,39.61,50.39
Belarus,45,66,4.20,7,38.11,51.89
Montenegro,45,66,4.84,5,37.07,52.93
Senegal,45,66,2.06,9,41.62,48.38
Hungary,44,70,2.58,10,39.77,48.23
Romania,44,70,2.76,10,39.47,48.53
South Africa,44,70,3.44,8,38.35,49.65
Suriname,44,70,4.76,4,36.19,51.81
Bulgaria,43,74,2.77,10,38.46,47.54
Jamaica,43,74,3.58,7,37.12,48.88
Tunisia,43,74,3.94,7,36.54,49.46
Armenia,42,77,4.31,6,34.93,49.07
Bahrain,42,77,7.65,6,29.46,54.54
Solomon Islands,42,77,8.69,3,27.75,56.25
Benin,41,80,2.64,7,36.67,45.33
China,41,80,2.10,8,37.55,44.45
Ghana,41,80,2.76,9,36.48,45.52
India,41,80,1.60,9,38.37,43.63
Morocco,41,80,3.15,7,35.83,46.17
Burkina Faso,40,85,2.54,8,35.83,44.17
Guyana,40,85,3.34,5,34.53,45.47
Indonesia,40,85,3.76,9,33.84,46.16
Kuwait,40,85,1.88,6,36.92,43.08
Lesotho,40,85,3.95,6,33.52,46.48
Trinidad and Tobago,40,85,5.38,7,31.18,48.82
Serbia,39,91,2.48,8,34.93,43.07
Turkey,39,91,3.34,9,33.53,44.47
Ecuador,38,93,2.19,7,34.40,41.60
Sri Lanka,38,93,2.11,7,34.53,41.47
Timor-Leste,38,93,4.50,4,30.63,45.37
Colombia,37,96,2.49,8,32.91,41.09
Ethiopia,37,96,1.52,9,34.51,39.49
Gambia,37,96,5.98,7,27.19,46.81
Tanzania,37,96,1.92,9,33.85,40.15
Vietnam,37,96,2.84,8,32.34,41.66
Bosnia and Herzegovina,36,101,1.95,7,32.80,39.20
Kosovo,36,101,0.81,5,34.66,37.34
Panama,36,101,1.37,7,33.75,38.25
Peru,36,101,3.07,8,30.97,41.03
Thailand,36,101,2.45,9,31.99,40.01
Albania,35,106,2.51,8,30.89,39.11
Algeria,35,106,2.59,7,30.75,39.25
Brazil,35,106,4.06,8,28.34,41.66
