Country,2019
Afghanistan,"3,520"
Albania,"1,712"
Algeria,"2,235"
Angola,"1,955"
Argentina,"1,978"
Armenia,"2,121"
Australia,"1,427"
Austria,"1,249"
Azerbaijan,"2,376"
Bahrain,"2,191"
Bangladesh,"2,109"
Belarus,"2,042"
Belgium,"1,526"
Benin,"1,911"
Bhutan,"1,473"
Bolivia,"1,975"
Bosnia and Herzegovina,"1,871"
Botswana,"1,791"
Brazil,"2,370"
Bulgaria,"1,585"
Burkina Faso,"2,153"
Burundi,"2,476"
Cambodia,"1,928"
Cameroon,"2,572"
Canada,"1,319"
Central African Republic,"3,163"
Chad,"2,499"
Chile,"1,652"
China,"2,047"
Colombia,"2,686"
Costa Rica,"1,728"
Cote d' Ivoire,"2,153"
Croatia,"1,549"
Cuba,"1,988"
Cyprus,"1,880"
Czech Republic,"1,335"
Democratic Republic of the Congo,"3,111"
Denmark,"1,288"
Djibouti,"2,103"
Dominican Republic,"2,019"
Ecuador,"1,950"
Egypt,"2,398"
El Salvador,"2,191"
Equatorial Guinea,"1,843"
Eritrea,"2,558"
Estonia,"1,582"
Eswatini,"1,917"
Ethiopia,"2,469"
Finland,"1,406"
France,"1,861"
Gabon,"2,069"
Georgia,"1,992"
Germany,"1,534"
Ghana,"1,743"
Greece,"1,903"
Guatemala,"2,206"
Guinea,"2,026"
Guinea-Bissau,"2,110"
Guyana,"2,088"
Haiti,"2,044"
Honduras,"2,264"
Hungary,"1,494"
Iceland,"1,094"
India,"2,611"
Indonesia,"1,737"
Iran,"2,512"
Iraq,"3,249"
Ireland,"1,326"
Israel,"2,717"
Italy,"1,677"
Jamaica,"1,944"
Japan,"1,380"
Jordan,"1,962"
Kazakhstan,"1,911"
Kenya,"2,365"
Kosovo,"1,911"
Kuwait,"1,748"
Kyrgyz Republic,"2,054"
Laos,"1,761"
Latvia,"1,599"
Lebanon,"2,756"
Lesotho,"2,144"
Liberia,"1,841"
Libya,"3,106"
Lithuania,"1,650"
Madagascar,"1,867"
Malawi,"1,787"
Malaysia,"1,589"
Mali,"2,685"
Mauritania,"2,214"
Mauritius,"1,554"
Mexico,"2,533"
Moldova,"1,869"
Mongolia,"1,760"
Montenegro,"1,811"
Morocco,"2,037"
Mozambique,"2,140"
Myanmar,"2,347"
Namibia,"1,919"
Nepal,"1,959"
Netherlands,"1,471"
New Zealand,"1,285"
Nicaragua,"2,293"
Niger,"2,374"
Nigeria,"2,769"
North Korea,"2,899"
North Macedonia,"1,835"
Norway,"1,500"
Oman,"1,919"
Pakistan,"2,891"
Palestine,"2,604"
Panama,"1,816"
Papua New Guinea,"1,958"
Paraguay,"2,060"
Peru,"1,973"
Philippines,"2,469"
Poland,"1,580"
Portugal,"1,247"
Qatar,"1,617"
Republic of the Congo,"2,279"
Romania,"1,574"
Russia,"3,099"
Rwanda,"1,974"
Saudi Arabia,"2,405"
Senegal,"1,872"
Serbia,"1,724"
Sierra Leone,"1,814"
Singapore,"1,348"
Slovakia,"1,519"
Slovenia,"1,293"
Somalia,"3,054"
South Africa,"2,410"
South Korea,"1,804"
South Sudan,"3,280"
Spain,"1,691"
Sri Lanka,"1,943"
Sudan,"2,866"
Sweden,"1,515"
Switzerland,"1,370"
Syria,"3,331"
Taiwan,"1,697"
Tajikistan,"2,168"
Tanzania,"1,872"
Thailand,"2,182"
The Gambia,"1,910"
Timor-Leste,"1,742"
Togo,"2,099"
Trinidad and Tobago,"2,059"
Tunisia,"1,975"
Turkey,"2,886"
Turkmenistan,"2,220"
Uganda,"2,193"
Ukraine,"2,768"
United Arab Emirates,"1,797"
United Kingdom,"1,681"
United States of America,"2,361"
Uruguay,"1,695"
Uzbekistan,"2,056"
Venezuela,"2,673"
Vietnam,"1,895"
Yemen,"3,211"
Zambia,"1,768"
Zimbabwe,"2,315"
