ISO3,COUNTRY.x,MIGRATION,DESEMPLEO,CRI,PUBLIC_SERV, CORRUPCTION, HUMANRIGTHS,PEACEINDEX,% POBLATION,FOODINSEC,#OFPEOPLEWOELECT
ARE,United Arab Emirates,-3.45,2.2,118,1.6,1.797,"7,6",71,,,
ARG,Argentina,-0.08,9.8,60,3.3,1.978,"3,9",45,79.9,2140.3,0
ARG,Argentina,-0.08,9.8,60,3.3,1.978,"3,9",45,79.9,3316.8,0
ARG,Argentina,-0.08,9.8,60,3.3,1.978,"3,9",45,79.9,8261.3,0
ARM,Armenia,-5.36,18.3,98.17,3.3,2.121,"6,6",42,,,
AUS,Australia,6.93,5.2,28,1.5,1.427,"1,7",77,88.6,2574.9,0
AUS,Australia,6.93,5.2,28,1.5,1.427,"1,7",77,88.6,1046.8,0
AUS,Australia,6.93,5.2,28,1.5,1.427,"1,7",77,88.6,770.3,0
AUT,Austria,3.55,4.5,56.83,1.1,1.249,"0,9",77,87.75220479,138.2,0
AUT,Austria,3.55,4.5,56.83,1.1,1.249,"0,9",77,87.75220479,481.4,0
AUT,Austria,3.55,4.5,56.83,1.1,1.249,"0,9",77,87.75220479,212.2,0
AZE,Azerbaijan,0,4.8,118,4.8,2.376,"8,3",30,81.09999907,564.2,0
AZE,Azerbaijan,0,4.8,118,4.8,2.376,"8,3",30,81.09999907,195.6,0
AZE,Azerbaijan,0,4.8,118,4.8,2.376,"8,3",30,81.09999907,232.8,0
BDI,Burundi,7.09,1.6,61.83,8.2,2.476,"9,0",19,,,
BFA,Burkina Faso,-0.61,4.7,118,8.1,2.153,"5,6",40,18,2628,16586485.07
BFA,Burkina Faso,-0.61,4.7,118,8.1,2.153,"5,6",40,18,2707,16586485.07
BFA,Burkina Faso,-0.61,4.7,118,8.1,2.153,"5,6",40,18,7580.8,16586485.07
BGD,Bangladesh,-2.9,4.4,23.5,7.5,2.109,"7,3",26,23.8,17497.3,12717601.49
BGD,Bangladesh,-2.9,4.4,23.5,7.5,2.109,"7,3",26,23.8,16487.4,12717601.49
BGD,Bangladesh,-2.9,4.4,23.5,7.5,2.109,"7,3",26,23.8,50377,12717601.49
BGR,Bulgaria,-0.29,4.2,101,3.8,1.585,"3,2",43,67.94698094,473.7,0
BGR,Bulgaria,-0.29,4.2,101,3.8,1.585,"3,2",43,67.94698094,1072.6,0
BGR,Bulgaria,-0.29,4.2,101,3.8,1.585,"3,2",43,67.94698094,376.5,0
BHR,Bahrain,-0.82,1.2,118,1.8,2.191,"8,6",42,,,
BIH,Bosnia and Herzegovina,-0.38,15.7,57.83,3.1,1.871,"5,0",36,69.94634763,329.3,0
BIH,Bosnia and Herzegovina,-0.38,15.7,57.83,3.1,1.871,"5,0",36,69.94634763,143.9,0
BIH,Bosnia and Herzegovina,-0.38,15.7,57.83,3.1,1.871,"5,0",36,69.94634763,130.2,0
BOL,Bolivia,-0.98,3.8,19.67,6.2,1.975,"5,7",31,,,
BRA,Brazil,-0.19,11.9,33.67,6.6,2.37,"6,9",35,73.91244005,37472.9,422099.038
BRA,Brazil,-0.19,11.9,33.67,6.6,2.37,"6,9",35,73.91244005,8669.9,422099.038
BRA,Brazil,-0.19,11.9,33.67,6.6,2.37,"6,9",35,73.91244005,12360.3,422099.038
BRB,Barbados,-0.29,8.4,118,2.4,0,"3,5",62,,,
BTN,Bhutan,0,2.5,118,5.5,1.473,"6,0",68,,,
CAN,Canada,5.46,5.7,65.67,1,1.319,"1,4",77,96.5,1318.7,0
CAN,Canada,5.46,5.7,65.67,1,1.319,"1,4",77,96.5,1796.8,0
CAN,Canada,5.46,5.7,65.67,1,1.319,"1,4",77,96.5,1596.3,0
CHE,Switzerland,4.52,6.8,85.5,1,1.37,"1,4",85,93.14608695,183.6,0
CHE,Switzerland,4.52,6.8,85.5,1,1.37,"1,4",85,93.14608695,396.1,0
CHE,Switzerland,4.52,6.8,85.5,1,1.37,"1,4",85,93.14608695,144.8,0
CMR,Cameroon,-0.31,3.6,67.33,8.2,2.572,"7,7",25,33.5,11631.6,9457221.065
COL,Colombia,-1.58,10,36.33,5.3,2.686,"6,7",37,,,
COM,Comoros,-2.25,8.1,25.33,7.6,0,"5,9",25,,,
CRI,Costa Rica,0.77,11.5,118,3.4,1.728,"1,5",56,81.20259644,399.5,14637.9269
CRI,Costa Rica,0.77,11.5,118,3.4,1.728,"1,5",56,81.20259644,592.4,14637.9269
CRI,Costa Rica,0.77,11.5,118,3.4,1.728,"1,5",56,81.20259644,358.8,14637.9269
DNK,Denmark,2.73,5,75.5,0.9,1.288,"1,7",87,98.04643475,143.6,0
DNK,Denmark,2.73,5,75.5,0.9,1.288,"1,7",87,98.04643475,109.5,0
DNK,Denmark,2.73,5,75.5,0.9,1.288,"1,7",87,98.04643475,333.9,0
DOM,Dominican Republic,-2.68,6.4,118,6.3,2.019,"5,3",28,,,
DZA,Algeria,-0.82,10.5,105.17,5.4,2.235,"6,6",35,57.9,9090.8,215265.27
DZA,Algeria,-0.82,10.5,105.17,5.4,2.235,"6,6",35,57.9,3358.4,215265.27
DZA,Algeria,-0.82,10.5,105.17,5.4,2.235,"6,6",35,57.9,3037.2,215265.27
ECU,Ecuador,0,3.8,103.83,5.9,1.95,"4,2",38,61.6,3359.4,0
ECU,Ecuador,0,3.8,103.83,5.9,1.95,"4,2",38,61.6,1768.5,0
ECU,Ecuador,0,3.8,103.83,5.9,1.95,"4,2",38,61.6,1948.3,0
ERI,Eritrea,-10.11,6,118,7.8,2.558,"8,7",23,,,
ESP,Spain,4.35,14.1,42.83,1.9,1.691,"1,2",62,90.71866533,1360.4,0
ESP,Spain,4.35,14.1,42.83,1.9,1.691,"1,2",62,90.71866533,1125.1,0
ESP,Spain,4.35,14.1,42.83,1.9,1.691,"1,2",62,90.71866533,3304.5,0
EST,Estonia,-2.79,4.4,75.67,2.3,1.582,"1,7",74,90.2289282,124.5,0
ETH,Ethiopia,-0.19,2.3,69.33,8.3,2.469,"8,2",37,22,15294,57976507.89
ETH,Ethiopia,-0.19,2.3,69.33,8.3,2.469,"8,2",37,22,16260.9,57976507.89
ETH,Ethiopia,-0.19,2.3,69.33,8.3,2.469,"8,2",37,22,56703.9,57976507.89
FIN,Finland,2.35,6.7,97.83,0.7,1.406,"0,7",86,89.60738511,508.4,0
FIN,Finland,2.35,6.7,97.83,0.7,1.406,"0,7",86,89.60738511,241.4,0
FIN,Finland,2.35,6.7,97.83,0.7,1.406,"0,7",86,89.60738511,190.3,0
FRA,France,1.06,8.4,52.5,1.2,1.861,"1,6",69,83.33974409,4391.9,0
FRA,France,1.06,8.4,52.5,1.2,1.861,"1,6",69,83.33974409,1607.1,0
FRA,France,1.06,8.4,52.5,1.2,1.861,"1,6",69,83.33974409,1926.6,0
GAB,Gabon,3.67,20.7,118,6.3,2.069,"7,4",31,,,
GEO,Georgia,0.06,11.6,93.17,3.7,1.992,"5,0",56,68.84670565,1281,0
GEO,Georgia,0.06,11.6,93.17,3.7,1.992,"5,0",56,68.84670565,570.4,0
GEO,Georgia,0.06,11.6,93.17,3.7,1.992,"5,0",56,68.84670565,456,0
GHA,Ghana,-0.16,4.3,53.33,7.2,1.743,"5,0",41,53,3872.5,5018946.57
