Country,Emigrantes,Var.
España [+],,
Alemania [+],,
Reino Unido [+],,
Francia [+],,
Italia [+],,
Portugal [+],,
Estados Unidos [+],,
Japón [+],838.852,0
China [+],,
Andorra [+],9.114,
Emiratos Árabes Unidos [+],154.404,
Afganistán [+],,
Antigua y Barbuda [+],55.089,
Albania [+],,
Armenia [+],964.848,
Angola [+],661.59,
Argentina [+],,
Austria [+],575.95,
Australia [+],577.255,
Azerbaiyán [+],,
Bosnia y Herzegovina [+],,
Barbados [+],112.925,
Bangladés [+],,
Bélgica [+],581.74,
Burkina Faso [+],,
Bulgaria [+],,
Baréin [+],60.153,
Burundi [+],623.999,
Benín [+],666.357,
Brunéi [+],46.977,
Bolivia [+],878.211,
Brasil [+],,
Bahamas [+],46.467,
Bután [+],49.216,
Botsuana [+],86.501,
Bielorrusia [+],,
Belice [+],68.144,
Canadá [+],,
República Democrática del Congo [+],,
República Centroafricana [+],767.884,
República del Congo [+],239.397,
Suiza [+],679.796,
Costa de Marfil [+],,
Chile [+],650.151,
Camerún [+],383.029,
Colombia [+],,
Costa Rica [+],150.4,
Cuba [+],,
Cabo Verde [+],186.372,
Chipre [+],214.648,
Chequia [+],911.388,
Yibuti [+],18.668,
Dinamarca [+],255.616,
Dominica [+],78.634,
República Dominicana [+],,
Argelia [+],,
Ecuador [+],,
Estonia [+],208.257,
Egipto [+],,0
Eritrea [+],751.481,
Etiopía [+],871.747,
Finlandia [+],290.006,
Fiyi [+],222.633,
Estados Federados de Micronesia [+],21.819,
Gabón [+],46.684,
Granada [+],75.784,
Georgia [+],852.816,
Ghana [+],970.625,
Gambia [+],118.483,
Guinea [+],530.963,
Guinea Ecuatorial [+],125.67,
Grecia [+],,
Guatemala [+],,
Guinea-Bisáu [+],103.587,
Guyana [+],520.196,
Hong Kong [+],,
Honduras [+],800.707,
Croacia [+],990.012,
Haiti [+],,
Hungría [+],632.126,
Indonesia [+],,
Irlanda [+],816.797,
Israel [+],369.935,
India [+],,
Irak [+],,
Irán [+],,
Islandia [+],42.186,
Jamaica [+],,
Jordania [+],784.377,
Kenia [+],525.437,0
Kirguistán [+],754.969,
Camboya [+],,
Kiribati [+],4.37,
Comoras [+],120.297,
San Cristóbal y Nieves [+],124.941,
Corea del Norte [+],113.118,0
Corea del Sur [+],,
Kuwait [+],205.382,
Kazajistán [+],,
Laos [+],,
Líbano [+],844.158,
Santa Lucía [+],63.605,
Liechtenstein [+],3.713,
Sri Lanka [+],,
Liberia [+],219.338,
Lesoto [+],341.58,
Lituania [+],610.223,
Luxemburgo [+],75.47,
Letonia [+],332.22,
Libia [+],180.586,
Marruecos [+],,
Mónaco [+],31.452,
Moldavia [+],,
Montenegro [+],153.009,
Madagascar [+],184.762,
Islas Marshall [+],8.205,
Macedonia del Norte [+],658.264,
Malí [+],,
Birmania - Myanmar [+],,
Mongolia [+],73.488,
Mauritania [+],128.506,
Malta [+],111.137,
Mauricio [+],188.344,
Maldivas [+],3.053,
Malaui [+],324.541,
México [+],,
Malasia [+],,
Mozambique [+],,
Namibia [+],195.515,
Níger [+],401.653,
Nigeria [+],,
Nicaragua [+],682.865,
Países Bajos [+],980.753,
Noruega [+],202.336,
Nepal [+],,
Nauru [+],2.421,
Nueva Zelanda [+],777.303,
Omán [+],24.939,
Panamá [+],161.107,
Perú [+],,
Papúa Nueva Guinea [+],219.126,
Filipinas [+],,
Pakistán [+],,
Polonia [+],,
Estado de Palestina [+],,
Palaos [+],2.65,
Paraguay [+],871.638,
Catar [+],171.632,
Rumanía [+],,
Serbia [+],950.485,
Rusia [+],,
Ruanda [+],588.544,
Arabia Saudita [+],296.254,
Islas Salomón [+],4.234,
Seychelles [+],36.788,
Sudán [+],,
Suecia [+],353.825,
Singapur [+],340.751,
Eslovenia [+],147.593,
Eslovaquia [+],345.683,
Sierra Leona [+],187.102,
San Marino [+],2.425,
Senegal [+],642.654,
Somalia [+],,
Surinam [+],423.517,
Sudán del Sur [+],,
Santo Tomé y Príncipe [+],37.013,
El Salvador [+],,
Siria [+],,
Suazilandia [+],108.188,
Chad [+],206.4,
Togo [+],543.277,
Tailandia [+],,
Tayikistán [+],597.959,
Timor Oriental [+],39.202,
Turkmenistán [+],260.832,
Túnez [+],813.213,
Tonga [+],74.433,
Turquía [+],,
Trinidad y Tobago [+],334.304,
Tuvalu [+],3.276,
Tanzania [+],323.173,
Ucrania [+],,
Uganda [+],734.951,
Uruguay [+],633.439,
Uzbekistán [+],,
San Vicente y las Granadinas [+],60.655,
Venezuela [+],,
Vietnam [+],,
Vanuatu [+],7.346,
Samoa [+],124.403,
Yemen [+],,
Sudáfrica [+],824.601,
Zambia [+],493.087,
Zimbabue [+],933.654,
