Country,Punt
Noruega,9.87
Islandia,9.58
Suecia,9.39
Nueva Zelanda,9.27
Finlandia,9.25
Irlanda,9.23
Dinamarca,9.21
Canadá,9.18
Australia,9.1
Suiza,9.03
Países Bajos,8.89
Luxemburgo,8.81
Alemania,8.68
Reino Unido,8.53
Uruguay,8.38
Austria,8.29
Mauricio,8.22
Malta,8.21
España,8.08
Costa Rica,8.07
Corea del Sur,8
Japón,7.99
Chile,7.97
Estonia,7.97
Estados Unidos,7.96
Cabo Verde,7.88
Portugal,7.84
Botsuana,7.81
Francia,7.8
Israel,7.79
Bélgica,7.78
República de China,7.73
Italia,7.71
República Checa,7.69
Chipre,7.59
Eslovenia,7.5
Lituania,7.5
Letonia,7.38
Grecia,7.29
Sudáfrica,7.24
Timor Oriental,7.19
Trinidad y Tobago,7.16
Eslovaquia,7.1
Panamá,7.05
Bulgaria,7.03
Argentina,7.02
Jamaica,7.02
Surinam,6.98
Brasil,6.97
Colombia,6.96
India,6.9
Malasia,6.88
Guyana,6.67
Lesoto,6.64
Filipinas,6.71
Ghana,6.63
Hungría,6.63
Polonia,6.62
Perú,6.6
Croacia,6.57
República Dominicana,6.54
Mongolia,6.5
Indonesia,6.5
Túnez,6.41
Serbia,6.4
Singapur,6.38
Rumania,6.37
Ecuador,6.27
Namibia,6.25
Paraguay,6.24
Sri Lanka,6.19
México,6.19
Hong Kong,6.15
Senegal,6.15
Papúa Nueva Guinea,6.03
Albania,5.98
El Salvador,5.96
Macedonia del Norte,5.87
Moldavia,5.85
Fiyi,5.85
Montenegro,5.74
Benín,5.74
Bolivia,5.7
Ucrania,5.69
Honduras,5.63
Zambia,5.61
Guatemala,5.6
Bangladés,5.57
Georgia,5.5
Malaui,5.49
Tanzania,5.41
Malí,5.41
Liberia,5.35
Bután,5.3
Madagascar,5.22
Uganda,5.2
Nepal,5.18
Kenia,5.11
Kirguistán,5.11
Marruecos,4.99
Bosnia y Herzegovina,4.98
Haití,4.91
Armenia,4.79
Burkina Faso,4.75
Sierra Leona,4.66
Líbano,4.63
Tailandia,4.63
Nigeria,4.44
Palestina,4.39
Turquía,4.37
Gambia,4.31
Pakistán,4.25
Costa de Marfil,4.15
Irak,4.06
Jordania,3.93
Mozambique,3.85
Kuwait,3.85
Birmania,3.83
Mauritania,3.82
Níger,3.76
Comoras,3.71
Nicaragua,3.63
Angola,3.62
Gabón,3.61
Camboya,3.59
Argelia,3.5
Egipto,3.36
Etiopía,3.35
Ruanda,3.35
República del Congo,3.31
Camerún,3.28
Catar,3.19
Zimbabue,3.17
Venezuela,3.16
Guinea,3.14
Bielorrusia,3.13
Togo,3.1
Vietnam,3.08
Omán,3.04
Suazilandia,3.03
Cuba,3
Afganistán,2.97
Kazajistán,2.94
Rusia,2.93
Yibuti,2.87
Emiratos Árabes Unidos,2.76
Baréin,2.71
Azerbaiyán,2.65
Irán,2.45
Eritrea,2.37
Burundi,2.33
China,2.26
Libia,2.19
Sudán,2.15
Laos,2.14
Uzbekistán,2.01
Guinea-Bisáu,1.98
Yemen,1.97
Arabia Saudita,1.96
Tayikistán,1.95
Guinea Ecuatorial,1.92
Turkmenistán,1.72
Chad,1.61
Siria,1.43
República Centroafricana,1.32
R. Democrática del Congo,1.13
Corea del Norte,1.08
