país,Año Reciente,desempleo total % de la poblacion activa total
Afganistán,2019,"11,2"
Albania,2019,"11,5"
Alemania,2019,"3,1"
Andorra,,
Angola,2019,"7,4"
Antigua y Barbuda,,
Arabia Saudita,2019,"5,7"
Argelia,2019,"10,5"
Argentina,2019,"9,8"
Armenia,2019,"18,3"
Aruba,,
Australia,2019,"5,2"
Austria,2019,"4,5"
Azerbaiyán,2019,"4,8"
Bahamas,2019,"10,1"
Bahrein,2019,"1,2"
Bangladesh,2019,"4,4"
Barbados,2019,"8,4"
Belarús,2019,"4,2"
Bélgica,2019,"5,4"
Belice,2019,"6,7"
Benin,2019,"1,5"
Bermudas,,
Bhután,2019,"2,5"
Bolivia,2019,"3,8"
Bosnia y Herzegovina,2019,"15,7"
Botswana,2019,"22,6"
Brasil,2019,"11,9"
Brunei Darussalam,2019,"6,9"
Bulgaria,2019,"4,2"
Burkina Faso,2019,"4,7"
Burundi,2019,"1,6"
Cabo Verde,2019,"12,2"
Camboya,2019,"0,1"
Camerún,2019,"3,6"
Canadá,2019,"5,7"
Chad,2019,"1,1"
Chile,2019,"7,3"
China,2019,"4,5"
Chipre,2019,"7,1"
Colombia,2019,10
Comoras,2019,"8,1"
"Congo, República Democrática del",2019,"4,5"
"Congo, República del",2019,"20,6"
"Corea, República Popular Democrática de",2019,"2,6"
"Corea, República de",2019,"3,8"
Costa Rica,2019,"11,5"
Côte d'Ivoire,2019,"3,3"
Croacia,2019,"6,6"
Cuba,2019,"1,7"
Curacao,,
Dinamarca,2019,5
Djibouti,2019,"26,4"
Dominica,,
Ecuador,2019,"3,8"
"Egipto, República Árabe de",2019,"7,8"
El Salvador,2019,"4,2"
Emiratos Árabes Unidos,2019,"2,2"
Eritrea,2019,6
Eslovenia,2019,"4,4"
España,2019,"14,1"
Estados Unidos,2019,"3,7"
Estonia,2019,"4,4"
Eswatini,2019,"22,8"
Etiopía,2019,"2,3"
Federación de Rusia,2019,"4,5"
Fiji,2019,"4,4"
Filipinas,2019,"2,2"
Finlandia,2019,"6,7"
Francia,2019,"8,4"
Gabón,2019,"20,7"
Gambia,2019,"9,5"
Georgia,2019,"11,6"
Ghana,2019,"4,3"
Gibraltar,,
Granada,,
Grecia,2019,"17,3"
Groenlandia,,
Guam,2019,"5,5"
Guatemala,2019,"2,2"
Guinea,2019,5
Guinea Ecuatorial,2019,"8,7"
Guinea-Bissau,2019,6
Guyana,2019,14
Haití,2019,"13,9"
Honduras,2019,"5,7"
"Hong Kong, Región Administrativa Especial",2019,"2,9"
Hungría,2019,"3,4"
India,2019,"5,3"
Indonesia,2019,"3,6"
