COUNTRY,ISO3,%POBLACIÓN
Afghanistan,AFG,17.6
Albania,ALB,68.55039112
Germany,DEU,88.13451691
Angola,AGO,32.4
Saudi Arabia,SAU,95.7247356
Algeria,DZA,57.9
Argentina,ARG,79.9
Armenia,ARM,66.54394969
Australia,AUS,88.6
Austria,AUT,87.75220479
Azerbaijan,AZE,81.09999907
Belgium,BEL,90.27542981
Bahrain,BHR,99.70149256
Bangladesh,BGD,23.8
Belize,BLZ,50.8
Benin,BEN,22.4
Bhutan,BTN,53.5
Belarus,BLR,82.78915209
Myanmar,MMR,34.9
Bolivia,BOL,47.47481911
Bosnia and Herzegovina,BIH,69.94634763
Botswana,BWA,61
Brazil,BRA,73.91244005
Bulgaria,BGR,67.94698094
Burkina Faso,BFA,18
Burundi,BDI,6.2
Cameroon,CMR,33.5
Canada,CAN,96.5
Chad,TCD,9.8
Chile,CHL,86.1
China,CHN,64.10983774
Cyprus,CYP,86.06362996
Colombia,COL,65.00690072
Costa Rica,CRI,81.20259644
Croatia,HRV,79.07978368
Cuba,CUB,67.97080866
Denmark,DNK,98.04643475
Ecuador,ECU,61.6
El Salvador,SLV,50.49119319
United Arab Emirates,ARE,99.14999998
Slovenia,SVN,83.1083578
Spain,ESP,90.71866533
Estonia,EST,90.2289282
Ethiopia,ETH,22
Philippines,PHL,43.02661187
Finland,FIN,89.60738511
France,FRA,83.33974409
Gabon,GAB,61
Georgia,GEO,68.84670565
Ghana,GHA,53
Grenada,GRD,56
Greece,GRC,75.67120669
Guatemala,GTM,44.40104984
Guinea,GIN,23
Guinea-Bissau,GNB,19.4
Haiti,HTI,33.3
Honduras,HND,39.38835219
Hungary,HUN,80.37169361
India,IND,29.4
Indonesia,IDN,47.69064898
Iraq,IRQ,60
Ireland,IRL,87.00005524
Iceland,ISL,99
Maldives,MDV,62.5
Israel,ISR,86.78787762
Italy,ITA,76.1
Japan,JPN,92.73039781
Kazakhstan,KAZ,81.87762047
Kenya,KEN,22.56511937
Kiribati,KIR,36.9
Kuwait,KWT,99.54267645
Lebanon,LBN,80.9
Lesotho,LSO,42.30173357
Latvia,LVA,86.13545644
Liberia,LBR,22
Lithuania,LTU,81.58186838
Luxembourg,LUX,97.12063569
Mexico,MEX,70.06991047
Malaysia,MYS,84.18714501
Malawi,MWI,9.9
Mali,MLI,24.2
Malta,MLT,85.77856081
Morocco,MAR,74.37631447
Mauritius,MUS,61.72995515
Mauritania,MRT,36.7
Mongolia,MNG,51.07999408
Montenegro,MNE,73.47666575
Mozambique,MOZ,15.1
Namibia,NAM,40.5
Nepal,NPL,32.8
Nicaragua,NIC,37.8
Nigeria,NGA,33.6
Norway,NOR,98.00000439
New Zealand,NZL,90.2
Oman,OMN,90.3
Netherlands,NLD,93.2885906
Pakistan,PAK,17.07090203
Panama,PAN,63.62841477
Paraguay,PRY,68.51762842
Peru,PER,59.95050106
Poland,POL,80.43590724
Portugal,PRT,75.34637794
Puerto Rico,PRI,77.73643937
Qatar,QAT,99.65280421
United Kingdom,GBR,92.51662855
Central African Republic,CAF,8.3
Czech Republic,CZE,80.86694441
Dominican Republic,DOM,75.8
South Sudan,SSD,5.6
Rwanda,RWA,26
Romania,ROU,73.65747575
Sao Tome and Principe,STP,32
Senegal,SEN,39.5
Serbia,SRB,77.41677362
Seychelles,SYC,75
Sierra Leone,SLE,16.8
Singapore,SGP,88.94925269
Sri Lanka,LKA,29
South Africa,ZAF,68.2
Sudan,SDN,25.9
Sweden,SWE,94.49344341
Switzerland,CHE,93.14608695
Suriname,SUR,68.75
Thailand,THA,66.65241946
Tanzania,TZA,20
Togo,TGO,19.3
Tunisia,TUN,66.6999983
Ukraine,UKR,70.1248443
Uganda,UGA,14.7
Uruguay,URY,83.35153377
Uzbekistan,UZB,70.4000024
Vietnam,VNM,68.66158021
Djibouti,DJI,59
Zambia,ZMB,16.8
Zimbabwe,ZWE,25.1
