COUNTRY.x,ISO3,MIGRATION,DESEMPLEO,CRI,PUBLIC_SERV,%POBLACIÓN,2019,P3:HUMAN RIGTHS,CPI 2019
Algeria,DZA,-0.82,10.5,105.17,5.4,57.9,2.235,6.6,35
Argentina,ARG,-0.08,9.8,60,3.3,79.9,1.978,3.9,45
Armenia,ARM,-5.36,18.3,98.17,3.3,6.654.394.969,2.121,6.6,42
Australia,AUS,6.93,5.2,28,1.5,88.6,1.427,1.7,77
Austria,AUT,3.55,4.5,56.83,1.1,8.775.220.479,1.249,0.9,77
Azerbaijan,AZE,0,4.8,118,4.8,8.109.999.907,2.376,8.3,30
Bahrain,BHR,-0.82,1.2,118,1.8,9.970.149.256,2.191,8.6,42
Bangladesh,BGD,-2.9,4.4,23.5,7.5,23.8,2.109,7.3,26
Barbados,BRB,-0.29,8.4,118,2.4,50.3,2.935,3.5,62
Belarus,BLR,0.72,4.2,118,3.6,8.278.915.209,2.654,3.2,48
Belize,BLZ,-0.96,6.7,118,5.3,50.8,2.103,2.8,57
Benin,BEN,0.24,1.5,118,8.3,22.4,2.105,2.9,53
Bhutan,BTN,0,2.5,118,5.5,53.5,1.473,6,68
Bolivia,BOL,-0.98,3.8,19.67,6.2,4.747.481.911,1.975,5.7,31
Bosnia and Herzegovina,BIH,-0.38,15.7,57.83,3.1,6.994.634.763,1.871,5,36
Botswana,BWA,2.81,22.6,99.83,6.5,61,1.532,2.3,31
Brazil,BRA,-0.19,11.9,33.67,6.6,7.391.244.005,2.37,6.9,35
Bulgaria,BGR,-0.29,4.2,101,3.8,6.794.698.094,1.585,3.2,43
Burkina Faso,BFA,-0.61,4.7,118,8.1,18,2.153,5.6,40
Burundi,BDI,07.09,1.6,61.83,8.2,6.2,2.476,9,19
Cambodia,KHM,-2.7,0.1,75.83,7.6,53.5,1.928,7.6,20
Cameroon,CMR,-0.31,3.6,67.33,8.2,33.5,2.572,7.7,25
Canada,CAN,5.46,5.7,65.67,1,96.5,1.319,1.4,77
Chad,TCD,-0.13,1.1,118,9.1,9.8,2.499,8.8,20
Colombia,COL,-1.58,10,36.33,5.3,6.500.690.072,2.686,6.7,37
Comoros,COM,-2.25,8.1,25.33,7.6,8.7,2.894,5.9,25
Costa Rica,CRI,0.77,11.5,118,3.4,8.120.259.644,1.728,1.5,56
Croatia,HRV,-0.5,6.6,75.17,2.6,7.907.978.368,1.549,3.2,47
Denmark,DNK,2.73,5,75.5,0.9,9.804.643.475,1.288,1.7,87
Djibouti,DJI,4.59,26.4,73,7.6,59,2.975,4.8,39
Dominican Republic,DOM,-2.68,6.4,118,6.3,75.8,2.019,5.3,28
Ecuador,ECU,0,3.8,103.83,5.9,61.6,1.95,4.2,38
Eritrea,ERI,-10.11,6,118,7.8,1.3,2.558,8.7,23
Estonia,EST,-2.79,4.4,75.67,2.3,902.289.282,1.582,1.7,74
Ethiopia,ETH,-0.19,2.3,69.33,8.3,22,2.469,8.2,37
Fiji,FJI,-5.84,4.4,73,4.4,68.9,2.754,5.9,41
Finland,FIN,2.35,6.7,97.83,0.7,8.960.738.511,1.406,0.7,86
France,FRA,01.06,8.4,52.5,1.2,8.333.974.409,1.861,1.6,69
Gabon,GAB,3.67,20.7,118,6.3,61,2.069,7.4,31
Georgia,GEO,0.06,11.6,93.17,3.7,6.884.670.565,1.992,5,56
Ghana,GHA,-0.16,4.3,53.33,7.2,53,1.743,5,41
Greece,GRC,1,17.3,45,3.8,7.567.120.669,1.903,3.3,48
Guatemala,GTM,-1.66,2.2,65.67,6.9,4.440.104.984,2.206,7.3,26
Guinea,GIN,0,5,99.17,9.2,23,2.026,7.1,29
Haiti,HTI,-1.88,13.9,58.33,9.2,33.3,2.044,7.2,18
Honduras,HND,-1.34,5.7,73.33,6.4,3.938.835.219,2.264,6.9,26
Hungary,HUN,1.23,3.4,85.83,2.6,8.037.169.361,1.494,5.3,44
Iceland,ISL,2.89,3.5,88.83,1,99,1.094,1,78
India,IND,0.16,5.3,16.67,6.8,29.4,2.611,5.6,41
Indonesia,IDN,-0.71,3.6,24.83,5.3,4.769.064.898,1.737,7,40
Iraq,IRQ,-0.83,12.9,84.33,8.7,60,1.532,1,26
Ireland,IRL,3.79,4.9,104.5,1.4,8.700.005.524,1.326,1.8,74
Italy,ITA,03.02,9.9,43.5,3,76.1,1.677,1.4,53
Jamaica,JAM,-7.7,7.7,118,6.2,68.2,1.944,5.6,43
Japan,JPN,0.74,2.4,14.5,1.6,9.273.039.781,1.38,3.2,73
Jordan,JOR,-11.08,16.8,118,3.6,68.2,1.962,7.4,48
Kazakhstan,KAZ,0.39,4.8,118,3.4,8.187.762.047,1.943,6,31
Kenya,KEN,-0.19,5,33,8,2.256.511.937,1.743,7,38
Kuwait,KWT,-3.87,2.2,118,2,9.954.267.645,1.748,7.3,40
Latvia,LVA,-5.19,6.3,86.83,2.4,8.613.545.644,1.599,3,56
Lesotho,LSO,-4.55,22.4,64.67,7.5,4.230.173.357,1.643,4,57
Liberia,LBR,-2.74,3,89.5,8.7,22,1.841,6.5,28
Libya,LBY,-1.61,19.7,73.67,6.4,17.8,3.106,9.1,18
Lithuania,LTU,-4.54,6.3,118,2.9,8.158.186.838,1.65,2.7,60
Luxembourg,LUX,12.01,5.6,72.83,1.7,9.712.063.569,1.75,1,80
Madagascar,MDG,0,1.9,40.33,8.6,62.5,1.867,5.6,24
Malaysia,MYS,1.48,3.3,87.33,3.6,8.418.714.501,1.589,7.4,53
Maldives,MDV,-12.78,5.3,97.33,5.2,62.5,1.588,6.9,51
Mali,MLI,-3.08,7.4,79.67,8.5,24.2,1.542,6.8,48
Mauritania,MRT,-0.72,10.4,63,8.6,36.7,2.214,7.5,28
Mexico,MEX,-0.76,3.5,59.5,6.2,7.006.991.047,2.533,5.9,29
Mongolia,MNG,-0.77,5.4,31.67,4.8,5.107.999.408,1.76,4.2,35
Morocco,MAR,-1.74,9.3,79.67,4.8,7.437.631.447,2.037,6.2,41
Mozambique,MOZ,-1.58,3.5,2.67,9.1,15.1,2.14,5.6,26
Namibia,NAM,0,20,98.17,6.8,40.5,1.919,3.2,52
Nepal,NPL,-4.21,3.1,20,6.6,32.8,1.959,7.1,34
Netherlands,NLD,1.9,3.4,97.17,0.8,932.885.906,1.471,1,82
New Zealand,NZL,5.83,4.1,66.33,1,90.2,1.493,1,82
Nicaragua,NIC,-2.15,5.2,58,6.2,37.8,2.293,7.3,22
Niger,NER,-0.64,0.6,18.17,9.3,10.2,2.764,8.9,23
Nigeria,NGA,-0.21,8.5,70,8.9,33.6,2.769,8.3,26
Norway,NOR,3.92,3.7,92.33,0.8,9.800.000.439,1.5,0.9,84
Oman,OMN,-0.45,1.8,84.67,2.9,90.3,1.919,7.5,52
Pakistan,PAK,-0.96,3.5,25,8,1.707.090.203,2.891,7.4,32
Panama,PAN,3.42,4.7,108.33,4.4,6.362.841.477,1.816,3.8,36
Papua New Guinea,PNG,0,2.4,58.67,9.1,11.2,1.254,3.9,49
Paraguay,PRY,-0.07,6.6,30,5.6,6.851.762.842,02.06,5.7,28
Peru,PER,-0.75,3.4,56.33,6.1,5.995.050.106,1.973,3.7,36
Poland,POL,-0.33,3.3,80,2.1,8.043.590.724,1.58,4.2,58
Portugal,PRT,0.91,6.5,48.33,2.2,7.534.637.794,1.247,1.2,62
Qatar,QAT,2.45,0.1,118,1.3,9.965.280.421,1.617,6.4,62
Romania,ROU,-4.36,3.9,104.5,3.4,7.365.747.575,1.524,6.1,59
Rwanda,RWA,-3.21,1.1,53.33,6.8,26,1.321,3.5,37
Saudi Arabia,SAU,5.52,5.7,73,3.2,957.247.356,2.405,9.3,53
