COUNTRY,ISO3,MIGRATION,DESEMPLEO,CRI,PUBLIC_SERV
Algeria,DZA,-0.82,10.5,105.17,5.4
Argentina,ARG,-0.08,9.8,60,3.3
Armenia,ARM,-5.36,18.3,98.17,3.3
Australia,AUS,6.93,5.2,28,1.5
Austria,AUT,3.55,4.5,56.83,1.1
Azerbaijan,AZE,0,4.8,118,4.8
Bahrain,BHR,-0.82,1.2,118,1.8
Bangladesh,BGD,-2.9,4.4,23.5,7.5
Barbados,BRB,-0.29,8.4,118,2.4
Belarus,BLR,0.72,4.2,118,3.6
Belize,BLZ,-0.96,6.7,118,5.3
Benin,BEN,0.24,1.5,118,8.3
Bhutan,BTN,0,2.5,118,5.5
Bolivia,BOL,-0.98,3.8,19.67,6.2
Bosnia and Herzegovina,BIH,-0.38,15.7,57.83,3.1
Botswana,BWA,2.81,22.6,99.83,6.5
Brazil,BRA,-0.19,11.9,33.67,6.6
Brunei Darussalam,,,6.9,118,1.5
Bulgaria,BGR,-0.29,4.2,101,3.8
Burkina Faso,BFA,-0.61,4.7,118,8.1
Burundi,BDI,7.09,1.6,61.83,8.2
Cambodia,KHM,-2.7,0.1,75.83,7.6
Cameroon,CMR,-0.31,3.6,67.33,8.2
Canada,CAN,5.46,5.7,65.67,1
Chad,TCD,-0.13,1.1,118,9.1
Colombia,COL,-1.58,10,36.33,5.3
Comoros,COM,-2.25,8.1,25.33,7.6
Costa Rica,CRI,0.77,11.5,118,3.4
Croatia,HRV,-0.5,6.6,75.17,2.6
Denmark,DNK,2.73,5,75.5,0.9
Djibouti,DJI,4.59,26.4,73,7.6
Dominican Republic,DOM,-2.68,6.4,118,6.3
Ecuador,ECU,0,3.8,103.83,5.9
Eritrea,ERI,-10.11,6,118,7.8
Estonia,EST,-2.79,4.4,75.67,2.3
Eswatini,,-6.16,22.8,118,7.5
Ethiopia,ETH,-0.19,2.3,69.33,8.3
Fiji,FJI,-5.84,4.4,73,4.4
Finland,FIN,2.35,6.7,97.83,0.7
France,FRA,1.06,8.4,52.5,1.2
Gabon,GAB,3.67,20.7,118,6.3
Georgia,GEO,0.06,11.6,93.17,3.7
Ghana,GHA,-0.16,4.3,53.33,7.2
Greece,GRC,1,17.3,45,3.8
Guatemala,GTM,-1.66,2.2,65.67,6.9
Guinea,GIN,0,5,99.17,9.2
Haiti,HTI,-1.88,13.9,58.33,9.2
Honduras,HND,-1.34,5.7,73.33,6.4
Hungary,HUN,1.23,3.4,85.83,2.6
Iceland,ISL,2.89,3.5,88.83,1
India,IND,0.16,5.3,16.67,6.8
Indonesia,IDN,-0.71,3.6,24.83,5.3
Iraq,IRQ,-0.83,12.9,84.33,8.7
Ireland,IRL,3.79,4.9,104.5,1.4
Italy,ITA,3.02,9.9,43.5,3
Jamaica,JAM,-7.7,7.7,118,6.2
Japan,JPN,0.74,2.4,14.5,1.6
Jordan,JOR,-11.08,16.8,118,3.6
Kazakhstan,KAZ,0.39,4.8,118,3.4
Kenya,KEN,-0.19,5,33,8
Kuwait,KWT,-3.87,2.2,118,2
Latvia,LVA,-5.19,6.3,86.83,2.4
Lesotho,LSO,-4.55,22.4,64.67,7.5
Liberia,LBR,-2.74,3,89.5,8.7
Libya,LBY,-1.61,19.7,73.67,6.4
Lithuania,LTU,-4.54,6.3,118,2.9
Luxembourg,LUX,12.01,5.6,72.83,1.7
Madagascar,MDG,0,1.9,40.33,8.6
Malaysia,MYS,1.48,3.3,87.33,3.6
Maldives,MDV,-12.78,5.3,97.33,5.2
Mali,MLI,-3.08,7.4,79.67,8.5
Mauritania,MRT,-0.72,10.4,63,8.6
Mexico,MEX,-0.76,3.5,59.5,6.2
Mongolia,MNG,-0.77,5.4,31.67,4.8
Morocco,MAR,-1.74,9.3,79.67,4.8
Mozambique,MOZ,-1.58,3.5,2.67,9.1
Namibia,NAM,0,20,98.17,6.8
Nepal,NPL,-4.21,3.1,20,6.6
Netherlands,NLD,1.9,3.4,97.17,0.8
New Zealand,NZL,5.83,4.1,66.33,1
Nicaragua,NIC,-2.15,5.2,58,6.2
Niger,NER,-0.64,0.6,18.17,9.3
Nigeria,NGA,-0.21,8.5,70,8.9
Norway,NOR,3.92,3.7,92.33,0.8
Oman,OMN,-0.45,1.8,84.67,2.9
