COUNTRY,ISO3,2019,P3:HUMAN RIGTHS,CPI 2019
Albania,ALB,1.712,4.2,35
Algeria,DZA,2.235,6.6,35
Angola,AGO,1.955,6.7,26
Argentina,ARG,1.978,3.9,45
Armenia,ARM,2.121,6.6,42
Australia,AUS,1.427,1.7,77
Austria,AUT,1.249,0.9,77
Azerbaijan,AZE,2.376,8.3,30
Bahrain,BHR,2.191,8.6,42
Bangladesh,BGD,2.109,7.3,26
Barbados,BRB,2.116,3.5,62
Belgium,BEL,1.526,1,75
Bhutan,BTN,1.473,6,68
Bolivia,BOL,1.975,5.7,31
Bosnia and Herzegovina,BIH,1.871,5,36
Brazil,BRA,2.37,6.9,35
Bulgaria,BGR,1.585,3.2,43
Burkina Faso,BFA,2.153,5.6,40
Burundi,BDI,2.476,9,19
Cambodia,KHM,1.928,7.6,20
Cameroon,CMR,2.572,7.7,25
Canada,CAN,1.319,1.4,77
Chad,TCD,2.499,8.8,20
Chile,CHL,1.652,3.2,67
China,CHN,2.047,8.8,41
Colombia,COL,2.686,6.7,37
Comoros,COM,2.896,5.9,25
Costa Rica,CRI,1.728,1.5,56
Croatia,HRV,1.549,3.2,47
Denmark,DNK,1.288,1.7,87
Dominican Republic,DOM,2.019,5.3,28
Ecuador,ECU,1.95,4.2,38
El Salvador,SLV,2.191,5.7,34
Eritrea,ERI,2.558,8.7,23
Estonia,EST,1.582,1.7,74
Ethiopia,ETH,2.469,8.2,37
Finland,FIN,1.406,0.7,86
France,FRA,1.861,1.6,69
Gabon,GAB,2.069,7.4,31
Georgia,GEO,1.992,5,56
Germany,DEU,1.534,0.8,80
Ghana,GHA,1.743,5,41
Greece,GRC,1.903,3.3,48
Guatemala,GTM,2.206,7.3,26
Guinea,GIN,2.026,7.1,29
Guyana,GUY,2.088,3.4,40
Haiti,HTI,2.044,7.2,18
Honduras,HND,2.264,6.9,26
Hungary,HUN,1.494,5.3,44
Iceland,ISL,1.094,1,78
India,IND,2.611,5.6,41
Indonesia,IDN,1.737,7,40
Ireland,IRL,1.326,1.8,74
Italy,ITA,1.677,1.4,53
Jamaica,JAM,1.944,5.6,43
Japan,JPN,1.38,3.2,73
Jordan,JOR,1.962,7.4,48
Kuwait,KWT,1.748,7.3,40
Latvia,LVA,1.599,3,56
Liberia,LBR,1.841,6.5,28
Libya,LBY,3.106,9.1,18
Lithuania,LTU,1.65,2.7,60
Luxembourg,LUX,1.76,1,80
Madagascar,MDG,1.867,5.6,24
Malawi,MWI,1.787,5.9,31
Malaysia,MYS,1.589,7.4,53
Malta,MLT,2.685,3.1,54
Mauritania,MRT,2.214,7.5,28
Mauritius,MUS,1.554,3.8,52
Mexico,MEX,2.533,5.9,29
Montenegro,MNE,1.811,3.7,45
Morocco,MAR,2.037,6.2,41
Mozambique,MOZ,2.14,5.6,26
Namibia,NAM,1.919,3.2,52
Nepal,NPL,1.959,7.1,34
Netherlands,NLD,1.471,1,82
Nicaragua,NIC,2.293,7.3,22
Nigeria,NGA,2.769,8.3,26
Norway,NOR,1.5,0.9,84
Oman,OMN,1.919,7.5,52
Pakistan,PAK,2.891,7.4,32
Panama,PAN,1.816,3.8,36
Paraguay,PRY,02.06,5.7,28
Peru,PER,1.973,3.7,36
Philippines,PHL,2.469,7.4,34
Poland,POL,1.58,4.2,58
Portugal,PRT,1.247,1.2,62
Qatar,QAT,1.617,6.4,62
Saudi Arabia,SAU,2.405,9.3,53
Senegal,SEN,1.872,5.4,45
Serbia,SRB,1.724,4.1,39
Sierra Leone,SLE,1.814,5.2,33
Singapore,SGP,1.348,4.6,85
Slovenia,SVN,1.293,1,60
Solomon Islands,SLB,2.54,4.6,42
South Africa,ZAF,2.41,4.2,44
Spain,ESP,1.691,1.2,62
Sudan,SDN,2.866,9.4,16
Sweden,SWE,1.515,0.9,85
Switzerland,CHE,1.37,1.4,85
Tajikistan,TJK,2.168,8.6,25
Thailand,THA,2.182,8.1,36
Togo,TGO,2.099,7.2,29
Trinidad and Tobago,TTO,2.059,3.6,40
Turkey,TUR,2.886,8.1,39
Uganda,UGA,2.193,8,28
Ukraine,UKR,2.768,6.6,30
United Arab Emirates,ARE,1.797,7.6,71
United Kingdom,GBR,1.681,1.5,77
Uruguay,URY,1.695,2.9,71
Uzbekistan,UZB,2.056,7.9,25
Venezuela,VEN,2.673,9,16
Zambia,ZMB,1.768,7.4,34
